4.08080754 ,0.26874196 ,8.64343123 ,0,1.29013472 ,0,2.05551324 ,2.23640652 ,0.85776304 
4.48888829 ,0,10.32721654 ,0,0,0.14485915 ,2.74068432 ,4.28644583 ,2.18339682 
4.32565599 ,0,9.20469300 ,0,2.39596447 ,-0.02785753 ,2.20777348 ,1.39775407 ,0.07797846 
3.01979758 ,0,8.53117888 ,0,1.29013472 ,0.10028710 ,3.04520480 ,2.23640652 ,0.31191383 
3.01979758 ,0,8.86793594 ,0,1.56659215 ,-0.14485915 ,3.27359516 ,2.14322291 ,0.07797846 
6.93737282 ,0,9.87820712 ,-0.09755227 ,0.27645744 ,0.00557151 ,0.22839036 ,3.86711961 ,3.11913831 
4.57050444 ,0,9.09244065 ,0,-0.18430496 ,0.06128656 ,1.90325300 ,4.00689501 ,2.41733219 
4.48888829 ,-0.01279724 ,10.66397360 ,-0.07316420 ,2.48811695 ,-0.02228602 ,3.04520480 ,1.91026390 ,0.07797846 
4.32565599 ,0.10237789 ,8.64343123 ,0,1.29013472 ,0,1.75099276 ,2.23640652 ,0.93574149 
3.01979758 ,0,11.33748772 ,-0.17071647 ,1.29013472 ,0,4.87232768 ,3.40120158 ,0.31191383 
3.01979758 ,0,8.75568359 ,-0.04877613 ,0.55291488 ,0,3.19746504 ,3.02846716 ,0.93574149 
3.67272678 ,0,9.42919771 ,0,2.11950703 ,0.11143011 ,2.89294456 ,1.72389669 ,0
3.10141373 ,0.02559447 ,8.64343123 ,0,1.75089711 ,0.03900054 ,2.96907468 ,1.77048849 ,0
3.01979758 ,0,8.75568359 ,0,-0.09215248 ,0.02785753 ,3.12133492 ,3.77393600 ,1.55956916 
3.34626218 ,0,11.22523537 ,0,1.75089711 ,-0.04457205 ,4.49167708 ,2.84209995 ,0.07797846 
3.34626218 ,0,9.99045948 ,0.02438807 ,1.75089711 ,-0.08914409 ,3.65424576 ,2.32959012 ,0.07797846 
3.83595909 ,0,9.54145006 ,-0.04877613 ,2.11950703 ,-0.02228602 ,2.89294456 ,1.81708030 ,0
3.99919139 ,0,8.86793594 ,0,2.11950703 ,-0.02785753 ,2.28390360 ,1.49093768 ,0.07797846 
3.99919139 ,0.03839171 ,9.20469300 ,0,2.30381199 ,0.02228602 ,2.51229396 ,1.53752948 ,0
3.01979758 ,-4.06952117 ,11.78649713 ,-0.04877613 ,1.65874463 ,-0.02228602 ,5.17684816 ,3.21483437 ,0
3.59111063 ,0.03839171 ,8.64343123 ,0,2.02735455 ,0.01114301 ,2.51229396 ,1.53752948 ,0
8.65131198 ,0.02559447 ,12.12325420 ,0,3.22533679 ,0,0.07613012 ,1.77048849 ,1.40361224 
3.01979758 ,-0.06398618 ,8.53117888 ,0,1.29013472 ,0,3.04520480 ,2.23640652 ,0.31191383 
3.99919139 ,0,11.22523537 ,0,2.30381199 ,0.10585861 ,3.95876624 ,2.37618193 ,0
3.67272678 ,-0.01279724 ,9.76595477 ,-0.04877613 ,2.02735455 ,-0.02228602 ,3.27359516 ,2.00344751 ,0
3.01979758 ,0.05118895 ,8.98018829 ,0,-0.09215248 ,0,3.27359516 ,3.86711961 ,1.55956916 
4.48888829 ,-0.01279724 ,11.00073066 ,0,2.39596447 ,0.04457205 ,3.19746504 ,2.14322291 ,0.15595692 
4.48888829 ,0,9.65370241 ,0.19510453 ,2.48811695 ,0,2.36003372 ,1.49093768 ,0
4.48888829 ,0.03839171 ,9.87820712 ,0.07316420 ,2.48811695 ,0,2.43616384 ,1.53752948 ,0.07797846 
3.01979758 ,0,8.30667417 ,0,1.19798224 ,-0.00557151 ,2.89294456 ,2.23640652 ,0.38989229 
